source,target
8,supper
to office,supper
lay long,prayers
betimes,12
to office,supper
to office,prayers
to office,supper
to office,supper
to office,supper
11,quarrel and makeup
4,speak with wife
to office,prayers
to office,supper
to office,prayers
to office,speak with wife
paid money,supper
to church,prayers
troubled to find my wife so ready to have me go,12
without any kindess to my wife,supper
by coach to my Lord Sandwich's,shaved myself
sending my wife to my aunt Wight's,prayers
with a gally to Woolwich,supper
to office,supper
lay long,last will
by coach to my Lord Sandwich's,globes with my wife
to office,cards
to office,supper
to office,supper
shaved myself,cards
to church,reading
settling accounts,supper